tag,name,keywords,checked,selected,url
1,"P. Lassen and M. Fumagalli, ""Can your drone touch? Exploring the boundaries of consumer-grade multirotors for physical interaction,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 1-7.","keywords: {Automation;Attitude control;Force;Autonomous aerial vehicles;Manipulators;Robot sensing systems;Object recognition},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812187&isnumber=9811357
2,"S. J. Carlson, P. Arora and C. Papachristos, ""A Multi-VTOL Modular Aspect Ratio Reconfigurable Aerial Robot,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 8-15.","keywords: {Couplings;Automation;Vehicular ad hoc networks;Prototypes;Collaboration;Autonomous aerial vehicles;Aerodynamics},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811542&isnumber=9811357
3,"J. Ji, N. Pan, C. Xu and F. Gao, ""Elastic Tracker: A Spatio-temporal Trajectory Planner for Flexible Aerial Tracking,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 47-53.","keywords: {Costs;Automation;Tracking;Trajectory planning;Prediction methods;Object detection;Safety},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811688&isnumber=9811357
4,"N. Sugito, M. Zhao, T. Anzai, T. Nishio, K. Okada and M. Inaba, ""Aerial Manipulation Using Contact with the Environment by Thrust Vectorable Multilinked Aerial Robot,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 54-60.","keywords: {Automation;Propellers;Focusing;Resists;Autonomous aerial vehicles;Manipulators;Hardware},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811948&isnumber=9811357
5,"M. González-Álvarez, J. Dupeyroux, F. Corradi and G. C. H. E. De Croon, ""Evolved neuromorphic radar-based altitude controller for an autonomous open-source blimp,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 85-90.","keywords: {Training;System performance;Process control;Artificial neural networks;Robot sensing systems;Radar tracking;Safety},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812149&isnumber=9811357
6,"K. Bimbraw, C. J. Nycz, M. J. Schueler, Z. Zhang and H. K. Zhang, ""Prediction of Metacarpophalangeal Joint Angles and Classification of Hand Configurations Based on Ultrasound Imaging of the Forearm,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 91-97.","keywords: {Surface reconstruction;Ultrasonic imaging;Pipelines;Static VAr compensators;Support vector machine classification;Real-time systems;Physiology;AI-Enabled Robotics;Gesture;Posture and Facial Expressions;Wearable Robotics},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812287&isnumber=9811357
7,"J. Lv, Q. Yu, L. Shao, W. Liu, W. Xu and C. Lu, ""SAGCI-System: Towards Sample-Efficient, Generalizable, Compositional, and Incremental Robot Learning,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 98-105.","keywords: {Wrist;Point cloud compression;Learning systems;Systematics;Robot vision systems;Cameras;Robot learning},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811859&isnumber=9811357
8,"A. Gautam, T. Whiting, X. Cao, M. A. Goodrich and J. W. Crandall, ""A Method for Designing Autonomous Robots that Know Their Limits,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 121-127.","keywords: {Automation;Navigation;Decision making;Hardware;Task analysis;Autonomous robots},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812030&isnumber=9811357
9,"C. J. Cortes and M. Egerstedt, ""Task Persistification for Robots with Control-Dependent Energy Dynamics,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 128-134.","keywords: {Costs;Vegetation;Minimization;Mathematical models;Batteries;Safety;Environmental monitoring},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812208&isnumber=9811357
10,"F. Z. Saberifar, D. A. Shell and J. M. O'Kane, ""Charting the trade-off between design complexity and plan execution under probabilistic actions,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 135-141.","keywords: {Costs;Uncertainty;Automation;Markov processes;Probabilistic logic;Data structures;Space exploration},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811751&isnumber=9811357
11,"A. A. Oliva, E. Aertbeliën, J. De Schutter, P. R. Giordano and F. Chaumette, ""Towards Dynamic Visual Servoing for Interaction Control and Moving Targets,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 150-156.","keywords: {Visualization;Target tracking;Limiting;Friction;Kinematics;Visual servoing;Stability analysis},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812081&isnumber=9811357
12,"S. T. Nguyen, H. Nguyen, S. T. Bui, V. A. Ho, T. D. Ngo and H. M. La, ""An Agile Bicycle-like Robot for Complex Steel Structure Inspection,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 157-163.","keywords: {Automation;Shape;Wheels;Inspection;Robot sensing systems;Acoustics;Mobile robots},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812153&isnumber=9811357
13,"Z. Zheng et al., ""CCRobot-V: A Silkworm-Like Cooperative Cable-Climbing Robotic System for Cable Inspection and Maintenance,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 164-170.","keywords: {Bridges;Wires;Maintenance engineering;Inspection;Winches;Mobile robots;Multi-robot systems;Cable climbing robot;bio-inspired robotics;wheel-wire-palm hybrid design;cooperative operation;field application},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811603&isnumber=9811357
14,"C. Bauer, D. Bauer, A. Allaire, C. G. Atkeson and N. Pollard, ""Learning to Navigate by Pushing,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 171-177.","keywords: {Navigation;Heuristic algorithms;Dynamics;Clustering algorithms;Prediction algorithms;Control systems;Object recognition},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812194&isnumber=9811357
15,"S. H. Jeon, S. Kim and D. Kim, ""Online Optimal Landing Control of the MIT Mini Cheetah,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 178-184.","keywords: {Location awareness;Schedules;Force;Robustness;Real-time systems;Hardware;Trajectory},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811796&isnumber=9811357
16,"A. Smyrli and E. Papadopoulos, ""Modeling, Validation, and Design Investigation of a Passive Biped Walker with Knees and Biomimetic Feet,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 193-199.","keywords: {Legged locomotion;Knee;Analytical models;Biological system modeling;Kinematics;Predictive models;Mathematical models},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812129&isnumber=9811357
17,"L. Li et al., ""A Mathematical Design for a Novel Walking Support Device that Leverages Passive Dynamics and Coupling Effects,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 200-206.","keywords: {Legged locomotion;Couplings;State feedback;Force;Humanoid robots;Robot sensing systems;Stability analysis},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811958&isnumber=9811357
18,"S. Islam, K. Carter, J. Yim, J. Kyle, S. Bergbreiter and A. M. Johnson, ""Scalable Minimally Actuated Leg Extension Bipedal Walker Based on 3D Passive Dynamics,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 207-213.","keywords: {Legged locomotion;Actuators;Solid modeling;Three-dimensional displays;Stability analysis;Feedback control;Frequency measurement},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812053&isnumber=9811357
19,"M. Kanneworff, T. Belvedere, N. Scianca, F. M. Smaldone, L. Lanari and G. Oriolo, ""Task-Oriented Generation of Stable Motions for Wheeled Inverted Pendulum Robots,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 214-220.","keywords: {Target tracking;Navigation;Heuristic algorithms;Computational modeling;Dynamics;Stability analysis;Real-time systems},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812317&isnumber=9811357
20,"I. Ibrahim, F. Farshidian, J. Preisig, P. Franklin, P. Rocco and M. Hutter, ""Whole-Body MPC and Dynamic Occlusion Avoidance: A Maximum Likelihood Visibility Approach,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 221-227.","keywords: {Three-dimensional displays;Computational modeling;Dynamics;Probabilistic logic;Cost function;Hardware;Real-time systems},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811536&isnumber=9811357
21,"D. Mronga, S. Kumar and F. Kirchner, ""Whole-Body Control of Series-Parallel Hybrid Robots,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 228-234.","keywords: {Legged locomotion;Automation;Humanoid robots;Computer architecture;Topology;Computational efficiency;Behavioral sciences},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811616&isnumber=9811357
22,"J. Mi, Y. Wang and C. Li, ""Omni-Roach: A Legged Robot Capable of Traversing Multiple Types of Large Obstacles and Self-Righting,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 235-242.","keywords: {Legged locomotion;Systematics;Automation;Insects;Tail;Collision avoidance;Robots;terradynamics;locomotion;multi-functional;exaptation;bio-inspired robotics;biomimetics},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811372&isnumber=9811357
23,"M. Zhou and X. Zhang, ""Fast Collision Checking for Dual-Arm Collaborative Robots Working in Close Proximity,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 243-249.","keywords: {Location awareness;Program processors;Uncertainty;Navigation;Computational modeling;Collaboration;Manipulators},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811857&isnumber=9811357
24,"Z. Xu, D. Deng, Y. Dong and K. Shimada, ""DPMPC-Planner: A real-time UAV trajectory planning framework for complex static environments with dynamic obstacles,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 250-256.","keywords: {Uncertainty;Navigation;Trajectory planning;Heuristic algorithms;Simulation;Prediction algorithms;Real-time systems},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811886&isnumber=9811357
25,"M. King–Smith, P. Tsiotras and F. Dellaert, ""Simultaneous Control and Trajectory Estimation for Collision Avoidance of Autonomous Robotic Spacecraft Systems,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 257-264.","keywords: {Space vehicles;Three-dimensional displays;Navigation;Heuristic algorithms;Estimation;Trajectory;Planning},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811875&isnumber=9811357
26,"T. Jin, X. Wang, H. Ji, J. Di and H. Yan, ""Collision Avoidance for Multiple Quadrotors Using Elastic Safety Clearance Based Model Predictive Control,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 265-271.","keywords: {Automation;Safety;Electron tubes;Trajectory;Time factors;Collision avoidance;Predictive control},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811659&isnumber=9811357
27,"S. Farsoni, A. Sozzi, M. Minelli, C. Secchi and M. Bonfé, ""Improving the Feasibility of DS-based Collision Avoidance Using Non-Linear Model Predictive Control,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 272-278.","keywords: {Robot kinematics;Robot control;Predictive models;Prediction algorithms;Planning;Collision avoidance;Robots},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811700&isnumber=9811357
28,"Q. Qiu, S. Yao, J. Wang, J. Ma, G. Chen and J. Ji, ""Learning to Socially Navigate in Pedestrian-rich Environments with Interaction Capacity,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 279-285.","keywords: {Adaptation models;Automation;Navigation;Supervised learning;Human-robot interaction;Reinforcement learning;Angular velocity},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811662&isnumber=9811357
29,"A. Thirugnanam, J. Zeng and K. Sreenath, ""Safety-Critical Control and Planning for Obstacle Avoidance between Polytopes with Control Barrier Functions,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 286-292.","keywords: {Shape;Navigation;System dynamics;Heuristic algorithms;Planning;Nonlinear dynamical systems;Trajectory},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812334&isnumber=9811357
30,"R. Ourari, K. Cui, A. Elshamanhory and H. Koeppl, ""Nearest-Neighbor-based Collision Avoidance for Quadrotors via Reinforcement Learning,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 293-300.","keywords: {Automation;Computational modeling;Biological system modeling;Reinforcement learning;Behavioral sciences;Complexity theory;Collision avoidance},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812221&isnumber=9811357
31,"S. Karnik, T. Lozano-Pérez, L. P. Kaelbling and G. N. Goretkin, ""Fully Persistent Spatial Data Structures for Efficient Queries in Path-Dependent Motion Planning Applications,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 329-335.","keywords: {Runtime;Automation;Filtering;Data structures;Search problems;Spatial databases;Planning},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812173&isnumber=9811357
32,"R. Hegewald, N. Wolpert and E. Schömer, ""Iterative Mesh Modification Planning: A new Method for Automatic Disassembly Planning of Complex Industrial Components,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 336-342.","keywords: {Industries;Deformable models;Automation;Computational modeling;Process control;Planning;Iterative methods},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812116&isnumber=9811357
33,"W. G. C. Bandara, J. M. J. Valanarasu and V. M. Patel, ""SPIN Road Mapper: Extracting Roads from Aerial Images via Spatial and Interaction Space Graph Reasoning for Autonomous Driving,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 343-350.","keywords: {Training;Image segmentation;Roads;Buildings;Semantics;Surfaces;Feature extraction},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812134&isnumber=9811357
34,"Y. Ren, S. Zhao and L. Bingbing, ""Object Insertion Based Data Augmentation for Semantic Segmentation,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 359-365.","keywords: {Point cloud compression;Training;Solid modeling;Laser radar;Semantics;Neural networks;Training data},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811816&isnumber=9811357
35,"L. Jing et al., ""Depth Estimation Matters Most: Improving Per-Object Depth Estimation for Monocular 3D Detection and Tracking,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 366-373.","keywords: {Training;Three-dimensional displays;Systematics;Automation;Fuses;Estimation;Task analysis},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811749&isnumber=9811357
36,"D. Hu, ""Approximating the Polynomial System for Effective Relative Pose Estimation,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 374-380.","keywords: {Computer vision;Automation;Robot kinematics;Motion estimation;Computational modeling;Robot vision systems;Pose estimation;Rotation Approximation;Minimal Solver;Relative Pose Estimation;SLAM},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811709&isnumber=9811357
37,"Z. Wang, D. Yuan, Y. Ng and R. Mahony, ""A Linear Comb Filter for Event Flicker Removal,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 398-404.","keywords: {Maximum likelihood detection;Robot vision systems;Nonlinear filters;Filtering algorithms;Fluorescence;Cameras;Light emitting diodes},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9812003&isnumber=9811357
38,"Y. Feng et al., ""Towards Robust Part-aware Instance Segmentation for Industrial Bin Picking,"" 2022 International Conference on Robotics and Automation (ICRA), Philadelphia, PA, USA, 2022, pp. 405-411.","keywords: {Training;Correlation;Automation;Shape;Service robots;Pipelines;Grasping},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811728&isnumber=9811357
